Rk,id,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,5,10/25/2023,22-081,MIN,@,TOR,L (-3),1,38:18:00,8,27,0.296,4,7,0.571,6,6,1,5,9,14,1,0,0,2,1,26,14.8,0
2,5,10/28/2023,22-084,MIN,,MIA,W (+16),1,33:22:00,7,15,0.467,3,5,0.6,2,2,1,0,2,2,7,0,0,2,3,19,13.6,21
3,5,10/30/2023,22-086,MIN,@,ATL,L (-14),1,37:47:00,13,21,0.619,5,8,0.625,0,1,0,0,5,5,7,1,0,5,4,31,21.9,-9
4,5,11/1/2023,22-088,MIN,,DEN,W (+21),1,31:50:00,8,16,0.5,1,4,0.25,7,8,0.875,0,2,2,1,2,0,4,1,24,14.5,11
5,5,11/4/2023,22-091,MIN,,UTA,W (+28),1,35:44:00,13,19,0.684,2,4,0.5,3,5,0.6,0,8,8,6,1,0,6,0,31,23.7,27
6,5,11/6/2023,22-093,MIN,,BOS,W (+5),1,38:08:00,15,25,0.6,2,8,0.25,6,7,0.857,0,9,9,7,1,0,3,5,38,29.7,18
7,5,11/8/2023,22-095,MIN,,NOP,W (+21),1,33:04:00,10,22,0.455,2,8,0.25,4,5,0.8,0,3,3,8,3,2,3,1,26,21.7,35
8,5,11/10/2023,22-097,MIN,@,SAS,W (+7),1,37:07:00,9,21,0.429,2,8,0.25,8,11,0.727,2,5,7,5,2,1,4,1,28,20.4,3
9,5,11/12/2023,22-099,MIN,@,GSW,W (+6),1,37:46:00,11,27,0.407,1,9,0.111,10,10,1,1,5,6,7,2,0,4,0,33,23.6,15
10,5,11/14/2023,22-101,MIN,@,GSW,W (+3),1,36:18:00,7,16,0.438,3,6,0.5,3,5,0.6,0,4,4,4,3,0,5,1,20,12.4,-9
11,5,11/15/2023,22-102,MIN,@,PHO,L (-18),1,30:31:00,4,16,0.25,1,3,0.333,4,4,1,1,3,4,4,1,1,1,0,13,8.5,-29
12,5,11/18/2023,22-105,MIN,@,NOP,W (+1),1,30:08:00,9,19,0.474,5,10,0.5,0,0,,0,3,3,4,0,0,3,6,23,11.6,13
13,5,11/20/2023,22-107,MIN,,NYK,W (+17),1,39:08:00,9,21,0.429,1,6,0.167,4,4,1,2,8,10,5,2,0,3,1,23,17.8,9
14,5,11/22/2023,22-109,MIN,,PHI,W (+13),1,35:48:00,11,22,0.5,5,9,0.556,4,4,1,2,4,6,6,2,0,2,2,31,26,19
15,5,11/24/2023,22-111,MIN,,SAC,L (-13),1,39:32:00,8,21,0.381,2,9,0.222,17,18,0.944,0,7,7,5,2,2,4,2,35,27.3,5
16,5,11/26/2023,22-113,MIN,@,MEM,W (+22),1,33:59:00,8,14,0.571,1,4,0.25,7,7,1,0,5,5,7,0,1,2,3,24,21.3,23
17,5,11/28/2023,22-115,MIN,,OKC,W (+3),1,28:01:00,7,16,0.438,3,6,0.5,4,6,0.667,0,5,5,1,0,1,2,2,21,11.9,0
18,5,11/30/2023,22-117,MIN,,UTA,W (+11),,,,,,,,,,,,,,,,,,,,,,
19,5,12/2/2023,22-119,MIN,@,CHO,W (+6),,,,,,,,,,,,,,,,,,,,,,
20,5,12/6/2023,22-123,MIN,,SAS,W (+8),1,36:53:00,4,17,0.235,2,5,0.4,7,8,0.875,1,6,7,6,1,1,3,2,17,10.9,14
21,5,12/8/2023,22-125,MIN,@,MEM,W (+24),1,3:43,0,1,0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,-3
22,5,12/11/2023,22-128,MIN,@,NOP,L (-14),,,,,,,,,,,,,,,,,,,,,,
23,5,12/14/2023,22-131,MIN,@,DAL,W (+18),1,34:34:00,3,19,0.158,0,3,0,3,6,0.5,1,1,2,11,2,0,5,2,9,0.6,20
