Rk,Date,Opp,Location,Result
1,2023-10-25,TOR,AWAY,L
2,2023-10-28,MIA,HOME,W
3,2023-10-30,ATL,AWAY,L
4,2023-11-01,DEN,HOME,W
5,2023-11-04,UTA,HOME,W
6,2023-11-06,BOS,HOME,W
7,2023-11-08,NOP,HOME,W
8,2023-11-10,SAS,AWAY,W
9,2023-11-12,GSW,AWAY,W
10,2023-11-14,GSW,AWAY,W
11,2023-11-15,PHO,AWAY,L
12,2023-11-18,NOP,AWAY,W
13,2023-11-20,NYK,HOME,W
14,2023-11-22,PHI,HOME,W
15,2023-11-24,SAC,HOME,L
16,2023-11-26,MEM,AWAY,W
17,2023-11-28,OKC,HOME,W
18,2023-11-30,UTA,HOME,W
19,2023-12-02,CHO,AWAY,W
20,2023-12-06,SAS,HOME,W
21,2023-12-08,MEM,AWAY,W
22,2023-12-11,NOP,AWAY,L
23,2023-12-14,DAL,AWAY,W
24,2023-12-16,IND,HOME,W
25,2023-12-18,MIA,AWAY,W
26,2023-12-20,PHI,AWAY,L
27,2023-12-21,LAL,HOME,W
28,2023-12-23,SAC,AWAY,W
29,2023-12-26,OKC,AWAY,L
30,2023-12-28,DAL,HOME,W
31,2023-12-30,LAL,HOME,W
32,2024-01-01,NYK,AWAY,L
33,2024-01-03,NOP,HOME,L
34,2024-01-05,HOU,AWAY,W
35,2024-01-07,DAL,AWAY,L
36,2024-01-09,ORL,AWAY,W
37,2024-01-10,BOS,AWAY,L
38,2024-01-12,POR,HOME,W
39,2024-01-14,LAC,HOME,W
40,2024-01-17,DET,AWAY,W
41,2024-01-18,MEM,HOME,W
42,2024-01-20,OKC,HOME,L
43,2024-01-22,CHO,HOME,L
44,2024-01-24,WAS,AWAY,W
45,2024-01-25,BRK,AWAY,W
46,2024-01-27,SAS,AWAY,L
47,2024-01-29,OKC,AWAY,W
48,2024-01-31,DAL,HOME,W
49,2024-02-02,ORL,HOME,L
50,2024-02-04,HOU,HOME,W
51,2024-02-06,CHI,AWAY,L
52,2024-02-08,MIL,AWAY,W
53,2024-02-12,LAC,AWAY,W
54,2024-02-13,POR,AWAY,W
55,2024-02-15,POR,AWAY,W
56,2024-02-23,MIL,HOME,L
57,2024-02-24,BRK,HOME,W
58,2024-02-27,SAS,HOME,W
59,2024-02-28,MEM,HOME,W
60,2024-03-01,SAC,HOME,L
61,2024-03-03,LAC,HOME,L
62,2024-03-04,POR,HOME,W
63,2024-03-07,IND,AWAY,W
64,2024-03-08,CLE,AWAY,L
65,2024-03-10,LAL,AWAY,L
66,2024-03-12,LAC,AWAY,W
67,2024-03-16,UTA,AWAY,W
68,2024-03-18,UTA,AWAY,W
69,2024-03-19,DEN,HOME,L
70,2024-03-22,CLE,HOME,W
71,2024-03-24,GSW,HOME,W
72,2024-03-27,DET,HOME,W
73,2024-03-29,DEN,AWAY,W
74,2024-03-31,CHI,HOME,L
75,2024-04-02,HOU,HOME,W
76,2024-04-03,TOR,HOME,W
77,2024-04-05,PHO,AWAY,L
78,2024-04-07,LAL,AWAY,W
79,2024-04-09,WAS,HOME,W
80,2024-04-10,DEN,AWAY,L
81,2024-04-12,ATL,HOME,W
82,2024-04-14,PHO,HOME,L
